float_id,time,depth_dbar,temperature_C,salinity_psu
b'1902453 ',2025-09-22 02:10:55.000228864,580.0,8.751,34.885
b'1902453 ',2025-09-22 02:10:55.000228864,582.0,8.74,34.884
b'1902453 ',2025-09-22 02:10:55.000228864,584.0,8.725,34.881
b'1902453 ',2025-09-22 02:10:55.000228864,586.0,8.706,34.877
b'1902453 ',2025-09-22 02:10:55.000228864,588.0,8.662,34.872
b'1902453 ',2025-09-22 02:10:55.000228864,590.0,8.622,34.867
b'1902453 ',2025-09-22 02:10:55.000228864,592.0,8.605,34.866
b'1902453 ',2025-09-22 02:10:55.000228864,594.0,8.574,34.862
b'1902453 ',2025-09-22 02:10:55.000228864,596.0,8.519,34.857
b'1902453 ',2025-09-22 02:10:55.000228864,598.0,8.472,34.852
b'1902453 ',2025-09-22 02:10:55.000228864,600.0,8.45,34.85
b'1902453 ',2025-09-22 02:10:55.000228864,602.0,8.436,34.849
b'1902453 ',2025-09-22 02:10:55.000228864,604.0,8.425,34.847
b'1902453 ',2025-09-22 02:10:55.000228864,606.0,8.416,34.846
b'1902453 ',2025-09-22 02:10:55.000228864,608.0,8.394,34.844
b'1902453 ',2025-09-22 02:10:55.000228864,610.0,8.295,34.835
b'1902453 ',2025-09-22 02:10:55.000228864,612.0,8.276,34.832
b'1902453 ',2025-09-22 02:10:55.000228864,614.0,8.259,34.83
b'1902453 ',2025-09-22 02:10:55.000228864,616.0,8.236,34.827
b'1902453 ',2025-09-22 02:10:55.000228864,618.0,8.191,34.824
b'1902453 ',2025-09-22 02:10:55.000228864,620.0,8.169,34.824
b'1902453 ',2025-09-22 02:10:55.000228864,622.0,8.163,34.825
b'1902453 ',2025-09-22 02:10:55.000228864,624.0,8.163,34.827
b'1902453 ',2025-09-22 02:10:55.000228864,626.0,8.161,34.829
b'1902453 ',2025-09-22 02:10:55.000228864,628.0,8.175,34.834
b'1902453 ',2025-09-22 02:10:55.000228864,630.0,8.181,34.836
b'1902453 ',2025-09-22 02:10:55.000228864,632.0,8.179,34.836
b'1902453 ',2025-09-22 02:10:55.000228864,634.0,8.147,34.836
b'1902453 ',2025-09-22 02:10:55.000228864,636.0,8.127,34.834
b'1902453 ',2025-09-22 02:10:55.000228864,638.0,8.098,34.831
b'1902453 ',2025-09-22 02:10:55.000228864,640.1,8.066,34.829
b'1902453 ',2025-09-22 02:10:55.000228864,642.0,8.062,34.828
b'1902453 ',2025-09-22 02:10:55.000228864,643.9,8.059,34.827
b'1902453 ',2025-09-22 02:10:55.000228864,646.0,8.048,34.826
b'1902453 ',2025-09-22 02:10:55.000228864,648.0,8.014,34.825
b'1902453 ',2025-09-22 02:10:55.000228864,650.0,8.014,34.826
b'1902453 ',2025-09-22 02:10:55.000228864,652.0,8.011,34.827
b'1902453 ',2025-09-22 02:10:55.000228864,654.0,7.992,34.83
b'1902453 ',2025-09-22 02:10:55.000228864,656.1,7.983,34.83
b'1902453 ',2025-09-22 02:10:55.000228864,658.0,7.993,34.835
b'1902453 ',2025-09-22 02:10:55.000228864,660.0,8.01,34.841
b'1902453 ',2025-09-22 02:10:55.000228864,662.0,8.094,34.868
b'1902453 ',2025-09-22 02:10:55.000228864,664.0,8.128,34.878
b'1902453 ',2025-09-22 02:10:55.000228864,666.0,8.233,34.904
b'1902453 ',2025-09-22 02:10:55.000228864,668.0,8.256,34.911
b'1902453 ',2025-09-22 02:10:55.000228864,670.0,8.285,34.918
b'1902453 ',2025-09-22 02:10:55.000228864,672.0,8.299,34.925
b'1902453 ',2025-09-22 02:10:55.000228864,674.0,8.297,34.924
b'1902453 ',2025-09-22 02:10:55.000228864,676.0,8.285,34.924
b'1902453 ',2025-09-22 02:10:55.000228864,678.0,8.289,34.928
b'1902453 ',2025-09-22 02:10:55.000228864,680.0,8.292,34.93
b'1902453 ',2025-09-22 02:10:55.000228864,682.0,8.266,34.927
b'1902453 ',2025-09-22 02:10:55.000228864,684.0,8.217,34.92
b'1902453 ',2025-09-22 02:10:55.000228864,686.0,8.188,34.918
b'1902453 ',2025-09-22 02:10:55.000228864,687.9,8.18,34.917
b'1902453 ',2025-09-22 02:10:55.000228864,690.0,8.15,34.915
b'1902453 ',2025-09-22 02:10:55.000228864,692.0,8.12,34.913
b'1902453 ',2025-09-22 02:10:55.000228864,694.0,8.117,34.913
b'1902453 ',2025-09-22 02:10:55.000228864,696.0,8.117,34.918
b'1902453 ',2025-09-22 02:10:55.000228864,698.0,8.116,34.919
b'1902453 ',2025-09-22 02:10:55.000228864,700.0,8.099,34.918
b'1902453 ',2025-09-22 02:10:55.000228864,702.0,8.062,34.915
b'1902453 ',2025-09-22 02:10:55.000228864,704.0,8.057,34.915
b'1902453 ',2025-09-22 02:10:55.000228864,706.0,8.056,34.915
b'1902453 ',2025-09-22 02:10:55.000228864,708.0,8.095,34.928
b'1902453 ',2025-09-22 02:10:55.000228864,710.0,8.14,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,712.0,8.142,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,714.0,8.134,34.943
b'1902453 ',2025-09-22 02:10:55.000228864,716.0,8.112,34.944
b'1902453 ',2025-09-22 02:10:55.000228864,718.0,8.12,34.949
b'1902453 ',2025-09-22 02:10:55.000228864,720.0,8.098,34.947
b'1902453 ',2025-09-22 02:10:55.000228864,722.0,8.055,34.94
b'1902453 ',2025-09-22 02:10:55.000228864,724.0,8.015,34.935
b'1902453 ',2025-09-22 02:10:55.000228864,726.0,7.992,34.932
b'1902453 ',2025-09-22 02:10:55.000228864,728.0,8.005,34.939
b'1902453 ',2025-09-22 02:10:55.000228864,730.0,8.021,34.95
b'1902453 ',2025-09-22 02:10:55.000228864,732.0,8.018,34.953
b'1902453 ',2025-09-22 02:10:55.000228864,734.0,8.021,34.956
